,SiteEnergyUseWN(kBtu),TotalGHGEmissions,log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
3982,5129831.0,174.62,15.450583468072695,5.168322569931849
3983,1914443.25,67.05,14.464937929600854,4.220242729097475
3984,2728342.5,17.48,14.81920520644097,2.916689066213538
3985,1062964.25,6.87,13.87657296629115,2.063058062429312
3986,1856762.75,27.7,14.434345610916806,3.3568971227655755
3987,3656318.75,149.53,15.111967666703418,5.014162399872412
3988,849958.0,5.57,13.652943392009023,1.8825138324965192
3989,751206.5,19.61,13.52943719085191,3.0257763949023677
3990,1338475.5,8.85,14.107042584821665,2.2874714551839976
3991,1031888.0,22.93,13.846901661099318,3.175132901920282
3992,713915.5,17.04,13.478521287704202,2.8925915146344776
3993,416885.5938,2.91,12.940569506479694,1.3635373739972745
3994,859387.1875,21.5,13.663976005173879,3.1135153092103742
3995,642645.1875,4.48,13.373349599053553,1.7011051009599243
3996,2037940.0,28.57,14.527450542394817,3.3867603338643857
3997,2617491.25,102.35,14.77772726088195,4.638121286127777
3998,505585.0,12.92,13.133473431557995,2.6333266549062735
3999,1267463.125,8.84,14.052528710299383,2.286455711064162
4000,616408.3125,4.13,13.331666490198465,1.6351056591826783
4001,2645366.0,59.7,14.788320366012266,4.1059436980654525
4002,1556431.5,44.27,14.25790690139598,3.8126445614478675
4003,9608193.0,312.6,16.07812683404519,5.7481182884762525
4004,1084718.5,7.15,13.896831986187637,2.0980179272527715
4005,649165.8125,4.29,13.383444992705888,1.665818245870208
4006,837922.3125,5.53,13.63868186274686,1.8764069432883397
4007,555492.625,3.64,13.227612411848355,1.534714366238164
4008,673502.8125,4.51,13.420248935544077,1.706564623164823
4009,919070.8125,18.03,13.731119540287073,2.946016681308058
4010,162960.0,1.14,12.001266187357068,0.7608058290337599
4011,847703.375,12.55,13.650287239607126,2.60638654732571
4012,1284942.5,40.85,14.066225306473203,3.7340917969354845
4013,539778.5,3.45,13.198916001816366,1.4929040961781488
4014,550746.6875,8.7,13.219032065835984,2.272125885509337
